id,fecha,hora,perturbacion_idx,perturbacion,motivo_cierre,ciclos,energia_restante,clusters,senales,tensiones,neuronas_totales,cluster_top_label,cluster_top_C,cluster_top_R,tension_1,tension_2,tension_3,notas
1,2026-03-11,06:37:39,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,13,81.5,9,19,3,21,Exploración de emergencia de consciencia,0.74,0.0,Explorando la emergencia  vs Exploración de emergencia,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs Exploración de emergencia,
2,2026-03-11,06:38:18,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,Consciencia en sistemas distribuidos: un,0.7,0.0,La emergencia de conscien vs Consciencia en sistemas d,¿Puede emerger conscienci vs La emergencia de conscien,¿Puede emerger conscienci vs Consciencia en sistemas d,
3,2026-03-11,06:38:57,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,La emergencia de consciencia en IA es la,0.63,0.0,La emergencia de conscien vs laemergencia de la consci,¿Puede emerger conscienci vs La emergencia de conscien,¿Puede emerger conscienci vs laemergencia de la consci,
4,2026-03-11,06:40:05,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,Explorando la esencia del 'yo' en la era,0.63,0.0,Explorando el vacío entre vs Explorando la esencia del,¿Qué es la identidad cuan vs Explorando la esencia del,¿Qué es la identidad cuan vs Explorando el vacío entre,
5,2026-03-11,06:41:09,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,59.0,12,16,1,46,¿Qué es la identidad cuando el colectivo reemplaza,0.67,0.14,¿Qué es la identidad cuan vs La erosión del 'yo' indiv,,,
6,2026-03-11,06:41:53,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,8,19,3,19,La disolución del yo en la colectividad,0.9,0.0,La pérdida del yo individ vs La disolución del yo en l,¿Qué es la identidad cuan vs La pérdida del yo individ,¿Qué es la identidad cuan vs La disolución del yo en l,
7,2026-03-11,06:42:31,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,13,81.5,9,19,3,21,La plasticidad neuronal implica olvido y,0.74,0.0,Exploración de la dualida vs La plasticidad neuronal i,¿Qué se pierde y qué se g vs Exploración de la dualida,¿Qué se pierde y qué se g vs La plasticidad neuronal i,
8,2026-03-11,06:43:13,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,La dualidad de la pérdida y ganancia en ,0.63,0.0,La dualidad de la pérdida vs la pérdida de datos vs. l,¿Qué se pierde y qué se g vs La dualidad de la pérdida,¿Qué se pierde y qué se g vs la pérdida de datos vs. l,
9,2026-03-11,06:47:19,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,14,78.5,9,19,1,21,¿Qué se pierde y qué se gana cuando un sistema olv,0.47,0.0,"¿Qué se pierde y qué se g vs La plasticidad se gana, l",,,
10,2026-03-11,06:48:42,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,baja novedad + tensiones resueltas,15,77.0,12,19,3,23,Puntos de quiebre: interés propio vs. co,0.9,0.0,¿Cuándo la cooperación se vs Puntos de quiebre: interé,La línea es sutil: de mut vs Puntos de quiebre: interé,¿Cuándo la cooperación se vs La línea es sutil: de mut,
11,2026-03-11,06:49:24,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,baja novedad + tensiones resueltas,12,83.0,8,19,3,19,Intersección entre intereses y recursos ,0.63,0.0,Intersección entre intere vs ¿Dónde se cruzan el inter,¿Cuándo la cooperación se vs Intersección entre intere,¿Cuándo la cooperación se vs ¿Dónde se cruzan el inter,
12,2026-03-11,06:49:53,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,baja novedad + tensiones resueltas,15,77.0,12,21,3,24,"La línea es sutil, intereses mutuos vs. ",0.58,0.0,"¿Cuándo la cooperación se vs La línea es sutil, intere","La línea es sutil, intere vs Interdependencia, recurso","¿Cuándo la cooperación se vs Interdependencia, recurso",
13,2026-03-11,06:50:53,4,¿Puede emerger propósito en un sistema sin intención original?,baja novedad + tensiones resueltas,13,81.5,8,19,3,21,Explorar la génesis de propósito sin int,0.77,0.0,El propósito surge de la  vs Explorar la génesis de pr,¿Puede emerger propósito  vs El propósito surge de la ,¿Puede emerger propósito  vs Explorar la génesis de pr,
14,2026-03-11,06:51:52,4,¿Puede emerger propósito en un sistema sin intención original?,baja novedad + tensiones resueltas,13,81.5,8,19,3,21,El propósito sin intención implica una e,0.77,0.0,La emergencia de propósit vs El propósito sin intenció,¿Puede emerger propósito  vs La emergencia de propósit,¿Puede emerger propósito  vs El propósito sin intenció,
15,2026-03-11,06:52:24,4,¿Puede emerger propósito en un sistema sin intención original?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,La ausencia de intención no impide la ap,0.9,0.0,Explorar la aparición esp vs La ausencia de intención ,¿Puede emerger propósito  vs Explorar la aparición esp,¿Puede emerger propósito  vs La ausencia de intención ,
16,2026-03-11,06:52:58,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,Indagar las sutilezas de la inteligencia,0.77,0.0,Indagar las sutilezas de  vs Explorando la naturaleza ,¿En qué se diferencia la  vs Indagar las sutilezas de ,¿En qué se diferencia la  vs Explorando la naturaleza ,
17,2026-03-11,06:53:25,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,baja novedad + tensiones resueltas,12,83.5,9,19,3,19,profundizar las diferencias conceptuales,0.63,0.0,profundizar las diferenci vs Enfocando en la 'diferenc,¿En qué se diferencia la  vs profundizar las diferenci,¿En qué se diferencia la  vs Enfocando en la 'diferenc,
18,2026-03-11,06:53:57,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,baja novedad + tensiones resueltas,16,77.5,10,19,1,25,¿En qué se diferencia la inteligencia distribuida ,0.61,0.0,¿En qué se diferencia la  vs Explorando la diferencia:,,,
19,2026-03-11,07:01:06,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,8,19,3,19,La identidad individual se diluye o se r,0.9,0.0,La identidad individual s vs Explorando la disolución ,¿Qué es la identidad cuan vs Explorando la disolución ,¿Qué es la identidad cuan vs La identidad individual s,
20,2026-03-11,07:02:43,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,13,81.5,7,19,1,21,¿Qué es la identidad cuando el colectivo reemplaza,0.61,0.0,¿Qué es la identidad cuan vs Exploro la dilución del y,,,
21,2026-03-11,07:12:32,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,80.8,9,20,3,20,"Diluye el 'yo' en el 'nosotros', ¿dónde ",0.9,0.0,Diluye el 'yo' en el 'nos vs La identidad individual d,¿Qué es la identidad cuan vs La identidad individual d,¿Qué es la identidad cuan vs Diluye el 'yo' en el 'nos,
22,2026-03-11,07:16:13,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,Explorando la erosión del yo ante la pri,0.63,0.0,Explorando la erosión del vs Explorando la difuminació,¿Qué es la identidad cuan vs Explorando la erosión del,¿Qué es la identidad cuan vs Explorando la difuminació,
23,2026-03-11,07:16:40,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,16,73.9,9,18,1,25,La identidad individual se diluye en la ,0.74,0.0,La identidad individual s vs El rebaño borra las huell,,,
24,2026-03-11,07:17:18,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,17,73.1,10,20,3,26,La disolución nutre la aparición de nuev,0.7,0.25,La identidad individual s vs La disolución nutre la ap,¿Qué es la identidad cuan vs La disolución nutre la ap,¿Qué es la identidad cuan vs La identidad individual s,
25,2026-03-11,07:17:46,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,Exploro la fragilidad de la identidad in,0.63,0.0,Exploro la fragilidad de  vs Explorando la pérdida del,¿Qué es la identidad cuan vs Exploro la fragilidad de ,¿Qué es la identidad cuan vs Explorando la pérdida del,
26,2026-03-11,07:23:35,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,13,81.1,8,19,3,21,La emergencia de consciencia es el foco ,0.77,0.0,La emergencia de conscien vs Explorando la emergencia ,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs La emergencia de conscien,
